,0
2067,434303381
2068,434392186
2069,385755343
2070,385755813
2071,385813622
2072,438105884
2073,438152481
2074,438195301
2075,438304937
2076,438366549
2077,438398635
2078,438413006
2079,438412651
2080,438428029
2081,438427451
2082,306903620
2083,307127182
2084,307247751
2085,307372459
2086,308055972
2087,308170727
2088,438496320
2089,372654938
2090,366400118
2091,49544447
2092,205522514
2093,366398833
2094,240716051
2095,439844868
2096,12770123
2097,69817706
2098,323182234
2099,49544813
2100,414154908
2101,20423419
2102,366577234
2103,173109398
2104,240810384
2105,380166303
2106,445927692
2107,146364193
2108,396742664
2109,443617846
2110,173109506
2111,49464755
2112,98642296
2113,456888510
2114,38158383
2115,82071637
2116,69817981
2117,242944836
2118,38141158
2119,67896082
2120,12784517
2121,38158265
2122,435307048
2123,366577437
2124,38141139
2125,366410558
2126,38143351
2127,69857731
2128,173090069
2129,173101822
2130,98085250
2131,435906166
2132,49464457
2133,386589057
2134,38085576
2135,68327107
2136,435340412
2137,443583679
