EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
228682380,130.639038,10.30176,19.06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,1,1,NA,NA,NA,NA,NA,NA
228682380,130.63904,10.30176,19.06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,1,1,NA,NA,NA,NA,NA,NA
228704734,188.295034,-11.134249,8.588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,1,104.1,6458,4.08,0.008,1.74,1.37
228720824,183.793989,-10.312399,6.055,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,1,22.35,6293,4.29,-0.935,1.1,0.84
228724232,188.386868,-10.146149,11.243,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,1,52,4276,4.74,-0.064,0.56,0.63
228737206,183.405355,-9.51338,7.416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,1,84.89,6090,3.83,0.023,2.41,1.45
228739655,185.392746,-9.399945,8.122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,1,91.35,5756,3.88,-0.168,2.04,1.17
229149295,191.292546,1.984334,18.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STAR,1,1,NA,NA,NA,NA,NA,NA
229154640,190.872655,2.121335,18.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STAR,1,1,NA,NA,NA,NA,NA,NA
229165995,189.537969,2.426821,18.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STAR,1,1,NA,NA,NA,NA,NA,NA
231478973,257.337014,-29.900526,8.474,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,STAR,1,1,119.6,5465,3.72,0.039,2.7,1.33
237799552,259.429776,-30.770591,8.854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,STAR,1,1,75.74,6048,4.38,-0.042,1.1,1.11
237872381,261.758847,-30.554498,17.928,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,STAR,1,1,7328,4486,2.33,0.111,11.79,1.06
242184803,264.697555,-30.131391,8.657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,STAR,1,1,99.6,6205,4.2,-0.076,1.38,1.14
245919787,353.128591,-12.264303,10.329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,STAR,1,1,27.76,4112,4.8,-0.063,0.47,0.54
245926081,352.507737,-11.908404,9.708,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,STAR,1,1,163,5163,3.84,0.064,2.13,1.1
245939167,349.474905,-11.263799,8.794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,STAR,1,1,81.5,5339,3.82,0.018,2.24,1.22
